"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS02EQ01","AS02EQ03","AS02EQ0","AS02EQ04","AS02EQ05","CULTURE","AS02EQ06A","AS02EQ06B","AS02EQ07A","AS02EQ07B","AS02EQ07C","AS02EQ07D","AS02EQH","AS02EQ0A","AS02EQ07E","AS02EQ07F","AS02EQ08","AS02EQ09","AS02EQ10","AS02EQ0C"
2,12,3,0,1,1,1,1,"TOMATE",29,12,1,10,7,500,1,1,1,,,2,,,1
2,12,3,0,1,2,2,1,"OIGNON",33,11,11,52,7,3120,1,2,1,,,2,,,2
2,12,3,0,1,3,3,1,"MAIS",4,11,11,20,7,1250,1,3,1,,,2,,,3
2,12,7,0,1,1,1,1,"OIGNON",33,11,11,33,7,1980,1,1,1,,,2,,,1
2,12,7,0,1,2,2,1,"MAIS",4,10,10,1,7,50,1,2,1,,,2,,,2
2,12,9,0,1,1,1,1,"OIGNON",33,11,11,104,7,6240,1,1,1,,,2,,,1
2,12,10,0,1,1,1,1,"OIGNON",33,12,12,70,7,5600,1,1,1,,,1,40,8,1
2,12,11,0,1,1,1,1,"OIGNON",33,11,11,20,7,1000,1,1,1,,,1,30,6,1
2,12,11,0,1,2,2,1,"OIGNON",33,11,11,23,7,1100,1,2,1,,,1,10,3,2
2,12,12,0,1,1,1,1,"OIGNON",33,0,,,,,,1,1,0,7,1,100,3,1
2,12,13,0,1,1,1,1,"OIGNON",33,11,11,30,7,1500,1,1,1,,,1,20,6,1
2,12,13,0,1,2,2,1,"POIVRON",17,11,11,7,7,200,1,2,1,,,1,30,6,2
2,12,14,0,1,2,1,1,"OIGNON",33,11,11,111,7,80,1,1,1,,,2,,,2
2,12,14,0,1,3,2,1,"MAIS",4,10,10,7,7,420,1,2,1,,,2,,,3
2,12,16,0,1,1,1,1,"OIGNON",33,12,12,71,7,4260,1,1,1,,,2,,,1
2,12,17,0,1,2,1,1,"OIGNON",33,12,12,40,7,3200,1,1,1,,,1,50,8,2
2,13,1,0,1,1,1,1,"OIGNON",33,11,12,10,8,800,1,1,1,,,2,,,1
2,13,1,0,1,2,2,1,"OIGNON",33,11,12,5,8,500,1,2,1,,,2,,,2
2,13,1,0,1,3,3,1,"OIGNON",33,11,12,10,8,800,1,3,1,,,2,,,3
2,13,1,0,1,4,5,1,"SORGHO",2,11,12,1,7,50,1,5,1,,,2,,,4
