position,name,type,isnumeric,format,vallab,varlab
137,ag_l_start_minute,byte,1,%8.0g,,
138,ag_l_end_hour,byte,1,%8.0g,,
139,ag_l_end_minute,byte,1,%8.0g,,
140,ag_l_respondent,byte,1,%8.0g,,
141,ag_m_start,str17,0,%17s,,
142,ag_m_end,str17,0,%17s,,
143,ag_m_start_day,byte,1,%8.0g,,
144,ag_m_start_month,byte,1,%9.0g,AG_Q_START_MONTH,
145,ag_m_start_hour,byte,1,%8.0g,,
146,ag_m_start_minute,byte,1,%8.0g,,
147,ag_m_end_hour,byte,1,%8.0g,,
148,ag_m_end_minute,byte,1,%8.0g,,
149,ag_m_respondent,byte,1,%8.0g,,
150,ag_n_start,str17,0,%17s,,
151,ag_n_end,str17,0,%17s,,
152,ag_n_start_day,byte,1,%8.0g,,
153,ag_n_start_month,byte,1,%9.0g,AG_R_START_MONTH,
154,ag_n_start_hour,byte,1,%8.0g,,
155,ag_n_start_minute,byte,1,%8.0g,,
156,ag_n_end_hour,byte,1,%8.0g,,
157,ag_n_end_minute,byte,1,%8.0g,,
158,ag_n_respondent,byte,1,%8.0g,,
159,ag_o1_start,str17,0,%17s,,
160,ag_o1_end,str17,0,%17s,,
161,ag_o1_start_day,byte,1,%8.0g,,
162,ag_o1_start_month,byte,1,%9.0g,AG_S_START_MONTH,
163,ag_o1_start_hour,byte,1,%8.0g,,
164,ag_o1_start_minute,byte,1,%8.0g,,
165,ag_o1_end_hour,byte,1,%8.0g,,
166,ag_o1_end_minute,byte,1,%8.0g,,
167,ag_o11_start,str17,0,%17s,,
168,ag_o11_end,str17,0,%17s,,
169,ag_o11_start_day,byte,1,%8.0g,,
170,ag_o11_start_month,byte,1,%9.0g,AG_S1_START_MONTH,
171,ag_o11_start_hour,byte,1,%8.0g,,
172,ag_o11_start_minute,byte,1,%8.0g,,
173,ag_o11_end_hour,byte,1,%8.0g,,
174,ag_o11_end_minute,byte,1,%8.0g,,
175,ag_o11_respondent,byte,1,%8.0g,,
176,ag_o2_start,str17,0,%17s,,
177,ag_o2_end,str17,0,%17s,,
178,ag_o2_start_day,byte,1,%8.0g,,
179,ag_o2_start_month,byte,1,%9.0g,AG_T_START_MONTH,
180,ag_o2_start_hour,byte,1,%8.0g,,
181,ag_o2_start_minute,byte,1,%8.0g,,
182,ag_o2_end_hour,byte,1,%8.0g,,
183,ag_o2_end_minute,byte,1,%8.0g,,
184,ag_o2_respondent,byte,1,%8.0g,,
185,ag_p_start,str17,0,%17s,,
186,ag_p_end,str17,0,%17s,,
187,ag_p_start_day,byte,1,%8.0g,,
188,ag_p_start_month,byte,1,%9.0g,AG_U_START_MONTH,
189,ag_p_start_hour,byte,1,%8.0g,,
190,ag_p_start_minute,byte,1,%8.0g,,
191,ag_p_end_hour,byte,1,%8.0g,,
192,ag_p_end_minute,byte,1,%8.0g,,
193,ag_p_respondent,byte,1,%8.0g,,
194,ag_q_start,str17,0,%17s,,
195,ag_q_end,str17,0,%17s,,
196,ag_q_start_day,byte,1,%8.0g,,
197,ag_q_start_month,byte,1,%9.0g,AG_V_START_MONTH,
198,ag_q_start_hour,byte,1,%8.0g,,
199,ag_q_start_minute,byte,1,%8.0g,,
200,ag_q_end_hour,byte,1,%8.0g,,
201,ag_q_end_minute,byte,1,%8.0g,,
202,ag_t_start,str17,0,%17s,,
203,ag_t_end,str17,0,%17s,,
204,ag_t_start_day,byte,1,%8.0g,,
205,ag_t_start_month,byte,1,%9.0g,AG_W_START_MONTH,
206,ag_t_start_hour,byte,1,%8.0g,,
207,ag_t_start_minute,byte,1,%8.0g,,
208,ag_t_end_hour,byte,1,%8.0g,,
209,ag_t_end_minute,byte,1,%8.0g,,
210,ag_t_respondent,byte,1,%8.0g,,
211,ag_u1_start,str17,0,%17s,,
212,ag_u1_end,str17,0,%17s,,
213,ag_u1_start_day,byte,1,%8.0g,,
214,ag_u1_start_month,byte,1,%9.0g,AG_X1_START_MONTH,
215,ag_u1_start_hour,byte,1,%8.0g,,
216,ag_u1_start_minute,byte,1,%8.0g,,
217,ag_u1_manager,byte,1,%8.0g,,
218,ag_u1_manager_a,byte,1,%8.0g,,
219,ag_u1_end_hour,byte,1,%8.0g,,
220,ag_u1_end_minute,byte,1,%8.0g,,
221,ag_u2_start,str17,0,%17s,,
222,ag_u2_end,str17,0,%17s,,
223,ag_u2_start_day,byte,1,%8.0g,,
224,ag_u2_start_month,byte,1,%9.0g,AG_X2_START_MONTH,
225,ag_u2_start_hour,byte,1,%8.0g,,
226,ag_u2_start_minute,byte,1,%8.0g,,
227,ag_u2_manager_a,byte,1,%8.0g,,
228,ag_u2_end_hour,byte,1,%8.0g,,
229,ag_u2_end_minute,byte,1,%8.0g,,
230,ag_u3_start,str17,0,%17s,,
231,ag_u3_end,str17,0,%17s,,
232,ag_u3_start_day,byte,1,%8.0g,,
233,ag_u3_start_month,byte,1,%9.0g,AG_X3_START_MONTH,
234,ag_u3_start_hour,byte,1,%8.0g,,
235,ag_u3_start_minute,byte,1,%8.0g,,
236,ag_u3_manager_a,byte,1,%8.0g,,
237,ag_u3_end_hour,byte,1,%8.0g,,
238,ag_u3_end_minute,byte,1,%8.0g,,
239,ag_u4_start,str17,0,%17s,,
240,ag_u4_end,str17,0,%17s,,
241,ag_u4_start_day,byte,1,%8.0g,,
242,ag_u4_start_month,byte,1,%9.0g,AG_X4_START_MONTH,
243,ag_u4_start_hour,byte,1,%8.0g,,
244,ag_u4_start_minute,byte,1,%8.0g,,
245,ag_u4_manager_a,byte,1,%8.0g,,
246,ag_u4_end_hour,byte,1,%8.0g,,
247,ag_u4_end_minute,byte,1,%8.0g,,
248,ag_nr_start,str17,0,%17s,,
249,ag_nr_end,str17,0,%17s,,
